id,publication_year,cited_by_count,author_ids
https://openalex.org/W2118640726,2007.0,105,"[""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394"", ""https://openalex.org/A5000454484""]"
https://openalex.org/W1594289182,2007.0,89,"[""https://openalex.org/A5000127146"", ""https://openalex.org/A5038755271""]"
https://openalex.org/W2158551678,2009.0,80,"[""https://openalex.org/A5055711524"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W3123386098,2007.0,78,"[""https://openalex.org/A5035165297"", ""https://openalex.org/A5000035181"", ""https://openalex.org/A5064601780""]"
https://openalex.org/W2135869037,2011.0,73,"[""https://openalex.org/A5082178717"", ""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W1985751988,2009.0,69,"[""https://openalex.org/A5000005989"", ""https://openalex.org/A5044286419""]"
https://openalex.org/W2971062439,2019.0,58,"[""https://openalex.org/A5017713240"", ""https://openalex.org/A5033757090"", ""https://openalex.org/A5000188096"", ""https://openalex.org/A5107337645""]"
https://openalex.org/W1966777903,2013.0,53,"[""https://openalex.org/A5000176873"", ""https://openalex.org/A5049079205""]"
https://openalex.org/W2171020123,2006.0,50,"[""https://openalex.org/A5033266759"", ""https://openalex.org/A5000098385""]"
https://openalex.org/W2084792637,2014.0,46,"[""https://openalex.org/A5087366777"", ""https://openalex.org/A5088947425"", ""https://openalex.org/A5000196398"", ""https://openalex.org/A5061885925""]"
https://openalex.org/W2533113478,2009.0,46,"[""https://openalex.org/A5055053078"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W2899702016,2018.0,43,"[""https://openalex.org/A5000176068"", ""https://openalex.org/A5047312329""]"
https://openalex.org/W2039148441,2015.0,41,"[""https://openalex.org/A5100355692"", ""https://openalex.org/A5000212688""]"
https://openalex.org/W3133658118,2021.0,41,"[""https://openalex.org/A5000098385"", ""https://openalex.org/A5037225650""]"
https://openalex.org/W2989722689,2019.0,40,"[""https://openalex.org/A5101504415"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W2548882894,2016.0,39,"[""https://openalex.org/A5027171279"", ""https://openalex.org/A5000246394""]"
https://openalex.org/W2883918218,2018.0,37,"[""https://openalex.org/A5068978955"", ""https://openalex.org/A5000107225""]"
https://openalex.org/W1611349742,2015.0,34,"[""https://openalex.org/A5074066409"", ""https://openalex.org/A5000066138""]"
https://openalex.org/W3201057046,2021.0,34,"[""https://openalex.org/A5040869025"", ""https://openalex.org/A5000066138""]"
https://openalex.org/W2783245997,2018.0,32,"[""https://openalex.org/A5000005989"", ""https://openalex.org/A5031955814"", ""https://openalex.org/A5044286419""]"
https://openalex.org/W3030460604,2020.0,31,"[""https://openalex.org/A5000073913"", ""https://openalex.org/A5054944358""]"
https://openalex.org/W1553555689,2012.0,29,"[""https://openalex.org/A5000127146"", ""https://openalex.org/A5000127146""]"
https://openalex.org/W193180621,2009.0,29,"[""https://openalex.org/A5083350074"", ""https://openalex.org/A5073691332"", ""https://openalex.org/A5000035181"", ""https://openalex.org/A5035165297"", ""https://openalex.org/A5015993425"", ""https://openalex.org/A5007739277""]"
