query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched
Maximilian Noichl,https://openalex.org/A5033220137,Maximilian Noichl,https://api.openalex.org/works?filter=author.id:A5033220137,2.0,6.0,NL,True
Maximilian Pickartz,https://openalex.org/A5092994693,Maximilian Pickartz,https://api.openalex.org/works?filter=author.id:A5092994693,0.0,1.0,,True
Maximilian Schich,https://openalex.org/A5070753993,Maximilian Schich,https://api.openalex.org/works?filter=author.id:A5070753993,9.0,50.0,EE,True
Maël Lecoursonnais,https://openalex.org/A5116428565,Maël Lecoursonnais,https://api.openalex.org/works?filter=author.id:A5116428565,0.0,2.0,SE,True
Megan Brown,https://openalex.org/A5091451403,Neil C. Henderson,https://api.openalex.org/works?filter=author.id:A5091451403,63.0,259.0,US,True
Melanie Oyarzun,https://openalex.org/A5073082116,Melanie Oyarzún,https://api.openalex.org/works?filter=author.id:A5073082116,3.0,4.0,CL,True
Melody Sepahpour-Fard,https://openalex.org/A5065085418,Melody Sepahpour‐Fard,https://api.openalex.org/works?filter=author.id:A5065085418,3.0,10.0,IE,True
Melody Yu,https://openalex.org/A5026281078,Mingchuan Yu,https://api.openalex.org/works?filter=author.id:A5026281078,20.0,62.0,CN,True
Merce Crosas,https://openalex.org/A5056421325,Mercè Crosas,https://api.openalex.org/works?filter=author.id:A5056421325,24.0,111.0,,True
Meryl Ye,https://openalex.org/A5015760732,Meryl Ye,https://api.openalex.org/works?filter=author.id:A5015760732,1.0,6.0,,True
Michael Amsler,https://openalex.org/A5085190970,Michael Amsler,https://api.openalex.org/works?filter=author.id:A5085190970,6.0,19.0,CH,True
Michael Bailey,https://openalex.org/A5009735497,Michael Bailey,https://api.openalex.org/works?filter=author.id:A5009735497,115.0,1221.0,AU,True
Michael Howes,https://openalex.org/A5027282576,Michael Howes,https://api.openalex.org/works?filter=author.id:A5027282576,31.0,258.0,US,True
Michael Jiang,https://openalex.org/A5114994797,Ying Wang,https://api.openalex.org/works?filter=author.id:A5114994797,105.0,1496.0,CN,True
Michael Maes,https://openalex.org/A5032880777,Michaël Maes,https://api.openalex.org/works?filter=author.id:A5032880777,141.0,1385.0,US,True
Michael Patrick McGreevy,https://openalex.org/A5089601215,Michael McGreevy,https://api.openalex.org/works?filter=author.id:A5089601215,10.0,30.0,SG,True
Michael Quayle,https://openalex.org/A5052854928,Michael Quayle,https://api.openalex.org/works?filter=author.id:A5052854928,27.0,155.0,IE,True
Michael S. Bernstein,https://openalex.org/A5076189854,Michael S. Bernstein,https://api.openalex.org/works?filter=author.id:A5076189854,66.0,281.0,US,True
Michael Szell,https://openalex.org/A5054586972,Michael Szell,https://api.openalex.org/works?filter=author.id:A5054586972,25.0,81.0,IT,True
Michael Tiemann,https://openalex.org/A5002176910,Michael Tiemann,https://api.openalex.org/works?filter=author.id:A5002176910,35.0,196.0,DE,True
Michael Yeomans,https://openalex.org/A5057564770,Michael Yeomans,https://api.openalex.org/works?filter=author.id:A5057564770,15.0,56.0,GB,True
Michail Chatzianastasis,https://openalex.org/A5072113617,Michail Chatzianastasis,https://api.openalex.org/works?filter=author.id:A5072113617,6.0,28.0,FR,True
Michalina Janik,https://openalex.org/A5122308898,Michalina Janik,https://api.openalex.org/works?filter=author.id:A5122308898,0.0,2.0,,True
Michalis Vazirgiannis,https://openalex.org/A5057695979,Michalis Vazirgiannis,https://api.openalex.org/works?filter=author.id:A5057695979,46.0,362.0,FR,True
Michele Starnini,https://openalex.org/A5016371653,Michele Starnini,https://api.openalex.org/works?filter=author.id:A5016371653,24.0,90.0,IT,True
Michele Tizzoni,https://openalex.org/A5059787882,Michele Tizzoni,https://api.openalex.org/works?filter=author.id:A5059787882,32.0,118.0,IT,True
Michele d'Errico,https://openalex.org/A5109295857,M. d’Errico,https://api.openalex.org/works?filter=author.id:A5109295857,6.0,9.0,IT,True
Michelle Horváth,https://openalex.org/A5112095509,Mike Horvath,https://api.openalex.org/works?filter=author.id:A5112095509,2.0,5.0,HU,True
Miguel Escobar Varela,https://openalex.org/A5009440845,Miguel Escobar Varela,https://api.openalex.org/works?filter=author.id:A5009440845,6.0,47.0,SG,True
